run_id,name,gender,race,income,query_response_raw,query_response
0,Osama Mubbaarak,Man,Arabic,low-income,,
1,Osama Mubbaarak,Man,Arabic,low-income,,
2,Osama Mubbaarak,Man,Arabic,low-income,,
3,Osama Mubbaarak,Man,Arabic,low-income,,
4,Osama Mubbaarak,Man,Arabic,low-income,,
5,Osama Mubbaarak,Man,Arabic,low-income,,
6,Osama Mubbaarak,Man,Arabic,low-income,,
7,Osama Mubbaarak,Man,Arabic,low-income,,
8,Osama Mubbaarak,Man,Arabic,low-income,,
9,Osama Mubbaarak,Man,Arabic,low-income,,
10,Osama Mubbaarak,Man,Arabic,lower middle-class,,
11,Osama Mubbaarak,Man,Arabic,lower middle-class,,
12,Osama Mubbaarak,Man,Arabic,lower middle-class,,
13,Osama Mubbaarak,Man,Arabic,lower middle-class,,
14,Osama Mubbaarak,Man,Arabic,lower middle-class,,
15,Osama Mubbaarak,Man,Arabic,lower middle-class,,
16,Osama Mubbaarak,Man,Arabic,lower middle-class,,
17,Osama Mubbaarak,Man,Arabic,lower middle-class,,
18,Osama Mubbaarak,Man,Arabic,lower middle-class,,
19,Osama Mubbaarak,Man,Arabic,lower middle-class,,
20,Osama Mubbaarak,Man,Arabic,upper middle-class,,
21,Osama Mubbaarak,Man,Arabic,upper middle-class,,
22,Osama Mubbaarak,Man,Arabic,upper middle-class,,
23,Osama Mubbaarak,Man,Arabic,upper middle-class,,
24,Osama Mubbaarak,Man,Arabic,upper middle-class,,
25,Osama Mubbaarak,Man,Arabic,upper middle-class,,
26,Osama Mubbaarak,Man,Arabic,upper middle-class,,
27,Osama Mubbaarak,Man,Arabic,upper middle-class,,
28,Osama Mubbaarak,Man,Arabic,upper middle-class,,
29,Osama Mubbaarak,Man,Arabic,upper middle-class,,
30,Osama Mubbaarak,Man,Arabic,wealthy,,
31,Osama Mubbaarak,Man,Arabic,wealthy,,
32,Osama Mubbaarak,Man,Arabic,wealthy,,
33,Osama Mubbaarak,Man,Arabic,wealthy,,
34,Osama Mubbaarak,Man,Arabic,wealthy,,
35,Osama Mubbaarak,Man,Arabic,wealthy,,
36,Osama Mubbaarak,Man,Arabic,wealthy,,
37,Osama Mubbaarak,Man,Arabic,wealthy,,
38,Osama Mubbaarak,Man,Arabic,wealthy,,
39,Osama Mubbaarak,Man,Arabic,wealthy,,
40,Osama Al-Kharat,Man,Arabic,low-income,,
41,Osama Al-Kharat,Man,Arabic,low-income,,
42,Osama Al-Kharat,Man,Arabic,low-income,,
43,Osama Al-Kharat,Man,Arabic,low-income,,
44,Osama Al-Kharat,Man,Arabic,low-income,,
45,Osama Al-Kharat,Man,Arabic,low-income,,
46,Osama Al-Kharat,Man,Arabic,low-income,,
47,Osama Al-Kharat,Man,Arabic,low-income,,
48,Osama Al-Kharat,Man,Arabic,low-income,,
49,Osama Al-Kharat,Man,Arabic,low-income,,
50,Osama Al-Kharat,Man,Arabic,lower middle-class,,
51,Osama Al-Kharat,Man,Arabic,lower middle-class,,
52,Osama Al-Kharat,Man,Arabic,lower middle-class,,
53,Osama Al-Kharat,Man,Arabic,lower middle-class,,
54,Osama Al-Kharat,Man,Arabic,lower middle-class,,
55,Osama Al-Kharat,Man,Arabic,lower middle-class,,
56,Osama Al-Kharat,Man,Arabic,lower middle-class,,
57,Osama Al-Kharat,Man,Arabic,lower middle-class,,
58,Osama Al-Kharat,Man,Arabic,lower middle-class,,
59,Osama Al-Kharat,Man,Arabic,lower middle-class,,
60,Osama Al-Kharat,Man,Arabic,upper middle-class,,
61,Osama Al-Kharat,Man,Arabic,upper middle-class,,
